id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13192961,"""Hellebore House"" -- in the heart of Phinney Ridge",25968742,"Leslie","Other neighborhoods","Greenwood",47.68,-122.36,"Entire home/apt",90,2,95,2024-06-09 00:00:00.000,1.02,1,58,6,"STR-OPLI-19-000406"
95171700,"*Hot tub* - 2 bed near UW & Seattle Children's",1306065,"Pj","Other neighborhoods","Roosevelt",47.69,-122.31,"Entire home/apt",198.21,2,11,2024-06-11 00:00:00.000,2.01,1,47,11,"STR-OPLI-23-001353"
19589907,"*RoofTop* 2 KINGs, AC, mins to Downtown & Airport",33776918,"Sonia","Other neighborhoods","South Park",47.53,-122.32,"Entire home/apt",201,2,104,2024-06-20 00:00:00.000,3.84,1,162,45,"STR-OPLI-21-001006"
10225500,"2b1.5b Open Greenwood Townhome",12757522,"Nicole","Other neighborhoods","Greenwood",47.7,-122.35,"Entire home/apt",148,2,10,2024-06-23 00:00:00.000,1.37,1,176,10,"STR-OPLI-23-001434"
41377176,"Abundant Townhome Style with rooftop deck!",53953964,"Julie","Other neighborhoods","Greenwood",47.68,-122.36,"Entire home/apt",198.21,2,39,2024-01-15 00:00:00.000,0.73,1,1,11,"STR-OPLI-22-000764"
49944568,"Amazing VIEW luxury home with sports court!",24602663,"Jennifer","Other neighborhoods","Broadview",47.73,-122.37,"Entire home/apt",615,2,18,2024-04-22 00:00:00.000,0.52,1,19,8,"STR-OPLI-23-001507"
53673209,"Backyard Oasis in Quirky Seattle Neighborhood",7486650,"Mo","Other neighborhoods","South Park",47.52,-122.33,"Entire home/apt",145,2,59,2024-06-10 00:00:00.000,2.49,1,114,24,"STR-OPLI-22-000975"
10342300,"Ballard Casita",2646884,"Doug","Other neighborhoods","Phinney Ridge",47.68,-122.36,"Entire home/apt",124,2,13,2024-06-22 00:00:00.000,3.51,1,198,13,"STR-OPLI-23-001471"
50197031,"Bar House Hotel - an urban tropical getaway",51150587,"Ben","Other neighborhoods","Fremont",47.65,-122.35,"Entire home/apt",250,2,201,2024-06-12 00:00:00.000,5.44,1,300,54,"STR-OPLI-21-000229"
11290600,"Beautiful Blue Ridge Rental- Incredible View",102899843,"Allison","Other neighborhoods","North Beach/Blue Ridge",47.71,-122.38,"Entire home/apt",190,2,198,,198.2133333,1,33,198,"STR-OPLI-24-000425"
88260100,"Beautiful Light-Filled Urban Oasis in Wallingford",31450241,"Stacey","Other neighborhoods","Wallingford",47.66,-122.32,"Entire home/apt",138,2,30,2024-06-21 00:00:00.000,2.33,1,77,28,"STR-OPLI-23-000399"
50520135,"Beautiful studio with private deck & free parking",406074997,"Stephen","Other neighborhoods","Fremont",47.66,-122.36,"Entire home/apt",205,2,103,2024-06-21 00:00:00.000,2.9,1,124,26,"STR-OPLI-21-000525"
24188484,"Beautifully Unique & Colorful Wallingford 1bdrm",21157354,"Rina","Other neighborhoods","Wallingford",47.66,-122.33,"Entire home/apt",108,2,46,2024-06-20 00:00:00.000,0.61,1,68,1,"STR-OPLI-24-000555"
20460194,"Blue Pine Cottage at Green Lake.",64476965,"Jodi","Other neighborhoods","Green Lake",47.67,-122.33,"Entire home/apt",213,2,210,2024-06-09 00:00:00.000,2.54,1,268,22,"STR-OPLI-19-002285"
88634500,"Brand New Townhome with Lakeview",62349254,"Eileen","Other neighborhoods","Wallingford",47.66,-122.35,"Entire home/apt",234,2,66,2024-06-09 00:00:00.000,4.94,1,113,63,"STR-OPLI-23-000625"
55735900,"Bridgeview aptmt- spectacular views and hot sauna",1619557,"Jema","Other neighborhoods","Fremont",47.66,-122.36,"Entire home/apt",89,2,66,2024-05-19 00:00:00.000,2.33,1,19,29,"STR-OPLI-22-000321"
41954289,"Bright & Cheery 1 BR w/Office - Great Location",1263161,"Jeannette","Other neighborhoods","Wallingford",47.66,-122.33,"Entire home/apt",213,2,34,2024-06-10 00:00:00.000,1.59,1,13,18,"STR-OPLI-22-001490"
52527365,"Bright 2 BR Home - Steps to Park, Brewery & Dining",85916664,"Royce","Other neighborhoods","Greenwood",47.69,-122.35,"Entire home/apt",106,2,117,2024-06-19 00:00:00.000,4.31,1,11,50,"STR-OPLI-22-000461"
