listing_id,id,date,reviewer_id,reviewer_name,Comments
52332217,4.61E+17,,100061390,Jill,"We had a great stay at this house. The location was perfect! It is walking distance to the campus, u village area and stadium! Spacious clean and quiet house. The hosts were great at communicating with us! I would highly recommend a stay here!"
3441450,15991147,,1002026,Joff,Well organized and very friendly. Thanks a lot for letting me stay!
25115867,300702533,,100208111,Jarrett,"Place was great. Spacious and clean, good location. Host was very responsive."
25870982,279838291,,100250766,Yanran,"Magic’s house is really clean and located in a quiet and convenient neighborhood. He is really helpful in giving the tips, placing the luggage!!!"
6365330,32855221,,10033590,Amy,"Wonderful, thoughtful hostess. We were comfortable and look forward to coming back to Cozy Home."
47101995,4.13E+17,,100401301,Kui,"I've stayed in Seattle once a year for the past 8 years and Eytan's place is in the top 3. The lower floor is about 300 SF and includes a large TV, a full kitchen and a dining table for 3. Also available is a full size washer and dryer which adds a nice touch for a the traveling worker since it allows me travel with less clothing overall.<br/>A wrap around stairway leads to the bedroom on the 2nd floor. The bed is suspended by threaded rods. As a professional structural engineer, I can say that the bed was sturdy you could easily put two people on it without realizing it was suspended. Although the bed is close to the ceiling, you can easily sit up right without any issue. Directly over your head is a window that allows fresh air in at night. Like most places in seattle, the home is not air conditioned however, I've only ever seen one AC in all of seattle during my years here.<br/>The bathroom is full size and there are many different hair products to choose from. <br/>Windows are plentiful throughout the space as well.<br/>A parking spot is also included with the rental however, you really cant fit much more than a medium sized sedan such as a Toyota Camry. As a daily driver in NYC, parking wasn't a challenge and you can do it in one move, but I can see it being a challenge for some.<br/>There is a family community around here, and in the summer time, its likely you'll sleep with the windows open. You may hear some kids playing or planes getting ready to land but it wasn't really bothersome and expected in a dense urban city.<br/>The GPS gives you directions to a gate that leads to the house, but the driveway is actually around the corner. It wasn't exactly obvious and I'll admit, I did not read any instructions on how to get to the driveway, I just got lucky and found it. If its not in the instructions, perhaps including a google map aerial view with arrows pointing on how to get to the driveway might make it easier for others.<br/>Overall, this was a very pleasant stay. The house was clean and well equipped. I would absolutely stay here again!"
33276085,453778435,,100426360,Reyanne,"This place is wonderful! Don is so thoughtful & quick to respond. We had a great time in his beautiful home. Very nice location, close to everything. Book if you can!!"
28781499,330662496,,100574520,Laura,"My husband and I stayed two nights and couldn't be happier with this place! Tucked away in a quiet neighborhood but still close to many dining options. The separate studio unit is above the garage- we weren't sure what to expect, but it was great! Still very private from the rest of the house. The mid-century modern furniture and decorating looked perfect with the house architecture and the place was ultra-cozy. Super comfy bed! All the amenities were thoughtfully there. We had a wonderful, relaxed time and definitely would go back and/or recommend this place!"
2118253,11522713,,10063533,Duane,Excellent host. Melissa was extremely accommodating and she was only a phone call away. Her place is the perfect hotel replacement.
18809004,155207437,,100640574,Nobian,"I enjoyed the stay, the pull out beds were very comfortable, and the location was great."
44318220,646436061,,100800661,Ayrik,Excellent base for exploring Seattle. Plenty of free street parking. Hosts are super kind and have the cutest puppy. The cottage is modern and utilizes the space well. We enjoyed our mornings before adventuring on the private deck enclosed in a bamboo fence. Comfy bed and everything was super clean. They even have a blue light filter fan that kills virus’! I’ll keep an eye out for this place next time I’m planning a trip to Seattle.
54149987,6.12E+17,,10087741,Jason,"Joe has put a great amount of care into every detail of the unit. The high ceilings and open light filled space overlooking the sound gave my stay a truly special feel. The beautiful sunsets and mountain views only added to the calming experience I felt while in the unit. The beds were ultra-comfortable and the kitchen and coffee bar provided all the best tools when I cooked at home or enjoyed my morning coffee looking out the windows. The area is amazing too with the beach and neighborhood restaurants/stores like Bakers, Sunny Hill, and Molly’s wine shop short walks away."
15554062,110991258,,100917583,Jus,The host was on time.
43609683,642340310,,1010133,Osagyefo,Such a great space and host !
24848205,272631482,,101134629,Kristin,"Brian’s place is amazing. The space is immaculate and spacious with extra amenities to make your stay even nicer. Brian is super helpful in communicating and checking in during your stay. Additionally, the location is great for catching the bus or walking up to Wallingford or down to gasworks. Definitely 5 star and will be recommending!"
36770186,507697572,,101161521,Dorothy,Spot on perfect for a visit to Seattle. The place is at a great location - we walked to everything. And when we didnt we had uber and the monorail to help us get around. The apartment is beautifully furnished and well stocked for what you might need for a quick trip or even an extended stay. It was clean and very welcoming. We really enjoyed our visit to Seattle and will recommemd this place to any friends and family looking for accomodations in Seattle.
16928699,133329449,,101299238,Jack,"-Martin was a very kind and courteous host.<br/>-He lives in a separate unit downstairs and is easily available if needed.<br/>-We had a late flight and he was able to accommodate our later check-in (8:00pm). -Plenty of street parking.<br/>-Quiet and safe neighborhood.<br/>-Very cozy home.<br/>-Great location, close to Capitol and Pike Place Market.<br/>Would definitely stay at Martin's lovely home should we find ourselves in Seattle again.<br/>"
19966378,179576315,,101443913,Allison,"This is a great apartment at the back of a house with private entrance and very private feel. The location is great - close to many shops and restaurants in Queen Anne. We also walked to Seattle Center, which was nice. The apartment is incredibly clean and had everything stocked that we needed. Dave is a great host. We would recommend this to others and would definitely stay there again!"
44519578,8.61E+17,,101556912,Mary Ann,"Clean. Safe. Relaxing. Just a few adjectives we’d use to describe this unit. <br/>Our family could not love this new gem in the Laurelhurst area enough. Conveniently located for travel into UVillage or Downtown Seattle, but surrounded by parks and neighborhood amenities.<br/>The interior is top notch; great furniture and decor, modern appliances, and plenty of room to spend time together as a family while not being stacked on top of one another. Easily houses our family of five.<br/>This would be a great space for anyone visiting the University for seminars, conferences, or other events. It would also be fantastic for any families or professionals who want to live close to Children’s hospital. This unit has everything you need to stay for a week or for three months. <br/>When we visit our family in Seattle again, we will want to stay here. We’ll probably plan to stay longer if we can grab this unit as it feels like an extension of home and removed the stress of traveling with a young family."
1647216,15647128,,1016062,Katherine,"I stayed in Melissa's unit for one week while attending a local conference in mid-July. The unit was very clean, and located in an incredibly convenient part of town. I was able to get on the bus and make it to everywhere I needed to go. There were a lot of good restaurants within walking distance.<br/><br/>Melissa was very easy to reach by text message if I needed anything throughout my stay.<br/><br/>The only negatives were that the futon was not very comfortable, and the room did not have any air conditioning (normal for Seattle, but still warm). <br/><br/>Overall, I would stay here again due to the convenience and location."
51650986,5.05E+17,,101653778,Honey,"Genesis and Tyree’s place is wonderful. I was a travel nurse staying for long term during my contract in Seattle and this airbnb was exactly what I needed. The apartment comes with basically anything you could think of. I’ve enjoyed the keurig, air fryer and using all the supplied cookware. It’s hard to maintain your home habits and cook at home when you’re traveling for work but Genesis and Tyree made it easy for me. The home is beautiful and aesthetically pleasing. The bed is super comfortable, the couch is comfortable. The link rail station is literally around the corner, which was so convenient. Oh also, the door uses a passcode instead of a key which I love, you can’t lock yourself out! Genesis was very quick to respond to inquiries and pleasant to interact with. Highly recommend!"
9407255,182504648,,101854933,Munira,"We had a great stay at LaDora's place. She was very accommodating and helpful from letting us check in early to checking out late to recommending great food and drinks spots . She was a great host!. The house itself was immaculate, amazing views from the porch, clean, perfect location and just beautiful in general. Definitely recommend this house to others and if we come back to Seattle we are definitely staying here."
17569817,139292097,,101979610,Gina,This gorgeous house was perfect for housing a group and hosting a dinner gathering. Its proximity to the light rail was a huge plus. We'd definitely stay here again!
27492046,302574446,,102005878,Mat,Great
